# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\garre\Dropbox\pinsnotcringe.csv
# Generated on: Thu Feb 03 06:03:27 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
switch[9],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
switch[8],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
switch[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
switch[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
switch[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
switch[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
switch[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
switch[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
switch[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
switch[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
led5_dp,Output,PIN_L19,6,B6_N0,PIN_F2,,,,,,
led5[6],Output,PIN_J20,6,B6_N0,PIN_AA16,,,,,,
led5[5],Output,PIN_K20,6,B6_N0,PIN_G20,,,,,,
led5[4],Output,PIN_L18,6,B6_N0,PIN_AB20,,,,,,
led5[3],Output,PIN_N18,6,B6_N0,PIN_U15,,,,,,
led5[2],Output,PIN_M20,6,B6_N0,PIN_V15,,,,,,
led5[1],Output,PIN_N19,6,B6_N0,PIN_V16,,,,,,
led5[0],Output,PIN_N20,6,B6_N0,PIN_Y17,,,,,,
led4_dp,Output,PIN_F17,6,B6_N0,PIN_AA17,,,,,,
led4[6],Output,PIN_F18,6,B6_N0,PIN_H12,,,,,,
led4[5],Output,PIN_E20,6,B6_N0,PIN_B11,,,,,,
led4[4],Output,PIN_E19,6,B6_N0,PIN_H13,,,,,,
led4[3],Output,PIN_J18,6,B6_N0,PIN_A11,,,,,,
led4[2],Output,PIN_H19,6,B6_N0,PIN_J11,,,,,,
led4[1],Output,PIN_F19,6,B6_N0,PIN_J12,,,,,,
led4[0],Output,PIN_F20,6,B6_N0,PIN_A10,,,,,,
led3_dp,Output,PIN_D22,6,B6_N0,PIN_Y22,,,,,,
led3[6],Output,PIN_F21,6,B6_N0,PIN_J8,,,,,,
led3[5],Output,PIN_E22,6,B6_N0,PIN_AB17,,,,,,
led3[4],Output,PIN_E21,6,B6_N0,PIN_B16,,,,,,
led3[3],Output,PIN_C19,7,B7_N0,PIN_AB16,,,,,,
led3[2],Output,PIN_C20,6,B6_N0,PIN_AB3,,,,,,
led3[1],Output,PIN_D19,6,B6_N0,PIN_W7,,,,,,
led3[0],Output,PIN_E17,6,B6_N0,PIN_AA21,,,,,,
led2_dp,Output,PIN_A19,7,B7_N0,PIN_AB11,,,,,,
led2[6],Output,PIN_B20,6,B6_N0,PIN_B1,,,,,,
led2[5],Output,PIN_A20,7,B7_N0,PIN_R12,,,,,,
led2[4],Output,PIN_B19,7,B7_N0,PIN_J4,,,,,,
led2[3],Output,PIN_A21,6,B6_N0,PIN_F4,,,,,,
led2[2],Output,PIN_B21,6,B6_N0,PIN_K20,,,,,,
led2[1],Output,PIN_C22,6,B6_N0,PIN_N4,,,,,,
led2[0],Output,PIN_B22,6,B6_N0,PIN_R10,,,,,,
led1_dp,Output,PIN_A16,7,B7_N0,PIN_A3,,,,,,
led1[6],Output,PIN_C18,7,B7_N0,PIN_D2,,,,,,
led1[5],Output,PIN_D18,6,B6_N0,PIN_C3,,,,,,
led1[4],Output,PIN_E18,6,B6_N0,PIN_E4,,,,,,
led1[3],Output,PIN_B16,7,B7_N0,PIN_Y8,,,,,,
led1[2],Output,PIN_A17,7,B7_N0,PIN_F3,,,,,,
led1[1],Output,PIN_A18,7,B7_N0,PIN_N9,,,,,,
led1[0],Output,PIN_B17,7,B7_N0,PIN_R7,,,,,,
led0_dp,Output,PIN_D15,7,B7_N0,PIN_D15,2.5 V,,,,,
led0[6],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
led0[5],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
led0[4],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
led0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
led0[2],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
led0[1],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
led0[0],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
button[1],Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
button[0],Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
